Date,Event
1963-12-31,"The Federation of Rhodesia and Nyasaland is divided into Northern Rhodesia, Southern Rhodesia, and Nyasaland."
1964-01-12,The People's Republic of Zanzibar and Pemba is established after a revolution overthrows the Sultanate of Zanzibar.
1964-01-14,The Chamizal is split between Mexico and the United States of America.
1964-03-04,The United Nations Buffer Zone in Cyprus is established in the Republic of Cyprus between Greek Cypriot and Turkish Cypriot communities.
1964-04-22,The Romanian People's Republic gains full economic and political independence from the Soviet Union. Bucharest remains the capital.
1964-04-26,The Republic of Tanganyika and the People's Republic of Zanzibar and Pemba unite to form the United Republic of Tanganyika and Zanzibar. Zanzibar City yields to Dar-es-Salaam as the capital.
1964-07-06,Malawi gains independence from the United Kingdom. Zomba remains the capital.
1964-08-01,The Republic of the Congo (Congo-Léopoldville) changes its name to the Democratic Republic of the Congo.
1964-09-21,The Crown Colony of Malta gains independence from the United Kingdom as the State of Malta. Valletta remains the capital.
1964-10-24,Northern Rhodesia gains independence from the United Kingdom as the Republic of Zambia. Lusaka remains the capital.
1964-11-01,"The United Republic of Tanganyika and Zanzibar changes its name to the United Republic of Tanzania, which becomes a member state of the Commonwealth of Nations."
1964-12-12,"Kenya is renamed the Republic of Kenya and severs all ties to the British monarchy as a Commonwealth realm, but remains part of the Commonwealth of Nations."
1965-02-18,The Gambia gains independence from the United Kingdom as a Commonwealth realm. Bathurst remains the capital.
1965-03-08,"The first 3,500 U.S. combat troops land in Da Nang, beginning an eight-year United States occupation of South Vietnam."
1965-04-08,"The Merger Treaty is signed, establishing the European Communities between Luxembourg, Belgium, Netherlands, West Germany, France and Italy."
1965-07-26,The British Protectorate over the Sultanate of Maldives ends. The Maldives becomes independent outside the Commonwealth of Nations. Male remains the capital.
1965-08-04,"The Cook Islands become a state in free association with New Zealand, sharing citizenship."
1965-08-09,The Republic of Singapore is expelled from Malaysia and becomes fully independent within the Commonwealth of Nations. Singapore remains the capital.
1965-08-21,The Romanian People's Republic changes its name to Socialist Republic of Romania.
1965-11-06,"The Laguna del Desierto incident happened between four Chilean Carabineros and between 40 and 90 members of the Argentine National Gendarmerie and took place in the disputed area south of O'Higgins/San Martín Lake between Argentina and Chile, inhabited by Chilean families, occupied by the Argentine Gendarmerie after the incident."
1965-11-08,"The United Kingdom creates the British Indian Ocean Territory from the Chagos Archipelago in Mauritius and the islands of Aldabra, Farquhar and Desroches from Seychelles, as Mauritius claims the Chagos Archipelago."
1965-11-11,"The Cabinet of Southern Rhodesia issues its Unilateral Declaration of Independence from the United Kingdom as Rhodesia, which goes unrecognized. Rhodesia attempts to become a Commonwealth realm with Queen Elizabeth II as Queen of Rhodesia, which remained unrecognised. Salisbury remains the capital."
1966-05-24,The Federal Republic of Nigeria changes its name to the Republic of Nigeria.
1966-05-26,The Crown Colony of British Guiana gains independence from the United Kingdom as Guyana. Georgetown remains the capital.
1966-06-30,The Democratic Republic of the Congo changes the name of its capital from Léopoldville to Kinshasa.
1966-07-06,"Malawi changes its name to the Republic of Malawi and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1966-08-31,The Republic of Nigeria changes its name back to the Federal Republic of Nigeria.
1966-09-30,Bechuanaland gains independence from the United Kingdom as the Republic of Botswana. Gaborone remains the capital.
1966-10-04,The Crown Colony of the Territory of Basutoland gains independence from the United Kingdom as the Kingdom of Lesotho. Maseru remains the capital.
1966-10-12,Guyana discovers that Venezuela had sometime before occupied and effectively annexed Ankoko Island in the disputed Essequibo region.
1966-11-24,The Río Encuentro-Alto Palena Dispute between the Republic of Chile and the Argentine Republic is defined by arbitration by Elizabeth II.
1966-11-28,The Republic of Burundi supersedes the Kingdom of Burundi.
1966-11-30,Barbados gains independence from the United Kingdom as a Commonwealth realm. Bridgetown remains the capital.
1967-01-24,The Republic of the United States of Brazil changes its name to the Federative Republic of Brazil.
1967-05-30,"The Republic of Biafra secedes from the Federal Republic of Nigeria. Enugu is the capital. Recognized by Gabon, Ivory Coast, Tanzania, and Zambia."
1967-06-10,"Israel captures the Gaza Strip and the Sinai Peninsula from the United Arab Republic (Egypt), the West Bank (including East Jerusalem) from Jordan, and the Golan Heights from Syria as a result of the Six-Day War."
1967-07-01,"The Merger Treaty comes into force, establishing the European Communities between Luxembourg, Belgium, Netherlands, West Germany, France and Italy."
1967-07-05,French Somaliland is renamed the French Territory of the Afars and Issas.
1967-07-12,"Following a referendum the day before, the Republic of Anguilla declares independence from the associated state of Saint Christopher, Nevis and Anguilla while seeking to remain a territory of the United Kingdom. The Valley becomes the capital."
1967-08-14,The capital of Pakistan is moved from Rawalpindi to Islamabad.
1967-08-17,Biafra takes over the Benin region.
1967-09-08,"Uganda is renamed the Republic of Uganda, but remains in the Commonwealth of Nations."
1967-09-19,The Republic of Benin becomes a puppet state that has no recognition from the parent state (Biafra).
1967-09-20,The Republic of Benin is taken over by Nigeria.
1967-11-07,South Yemen declares its independence from the United Kingdom as the People's Republic of South Yemen. Aden is the capital.
1967-11-30,The United Kingdom transfers the Khuriya Muriya Islands to Muscat and Oman.
1968-01-31,"Nauru gains independence from a United Nations trusteeship jointly administered by the Commonwealth of Australia, New Zealand, and the United Kingdom as the Republic of Nauru. Nauru becomes a special member of the Commonwealth of Nations. Yaren remains the de facto capital."
1968-03-12,Mauritius gains independence from the United Kingdom. Port Louis remains the capital.
1968-05-18,Mexico annexes the Los Indios banco from the United States of America.
1968-06-26,The Allied-occupied Bonin-Volcano Islands are given back to Japan.
1968-09-06,The Kingdom of Swaziland gains full independence from the United Kingdom. Mbabane is the capital.
1968-09-13,"Albania formally withdraws from the Warsaw Pact, having withheld support since 1961 over the Soviet-Albanian split."
1968-10-12,Spanish Guinea gains independence from Spain as the Republic of Equatorial Guinea. Malabo remains the capital.
1968-11-11,The Republic of Maldives supersedes the Sultanate of Maldives as a republic outside the Commonwealth of Nations.
1969-02-07,"Following a referendum the day before, the Republic of Anguilla declares independence from the United Kingdom. The Valley remains the capital."
1969-03-19,"The Republic of Anguilla is overthrown by British forces and reincorporated into the associated state of Saint Christopher, Nevis and Anguilla."
1969-05-10,The United Kingdom changes the name of the Colony of the Bahama Islands to the Commonwealth of the Bahama Islands.
1969-05-25,"Following a coup, the Democratic Republic of the Sudan supersedes the Republic of the Sudan. Khartoum remains the capital."
1969-06-30,Spain transfers Ifni to Morocco.
1969-09-01,"Following a coup, the Libyan Arab Republic supersedes the Kingdom of Libya. Tripoli becomes the sole capital."
1969-10-21,"Following a coup, the Somali Democratic Republic supersedes the Somali Republic. Mogadishu remains the capital."
1969-11-19,The UN General Assembly formally recognizes Indonesia's annexation of West New Guinea 'in accordance' with the New York Agreement.
1969-12-31,The Republic of the Congo changes its name to the People's Republic of the Congo.
1970-01-15,The Republic of Biafra capitulates and is reabsorbed by Nigeria.
1970-01-18,Kuwait and Saudi Arabia ratify an agreement to partition the Neutral Zone between the two.
1970-02-23,"Guyana changes its name to the Co-operative Republic of Guyana and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1970-03-02,"Rhodesia is declared the Republic of Rhodesia, but this is declared illegal by the international community as well as by the United Kingdom. Rhodesia remains de jure a British colony."
1970-03-18,"Following the deposition of Prince Norodom Sihanouk, the Kingdom of Cambodia changes its name to the State of Cambodia."
1970-04-24,"Following a referendum, The Gambia changes its name to the Republic of The Gambia and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1970-05-01,British Honduras begins to move its capital from Belize City to Belmopan.
1970-06-04,"The Kingdom of Tonga gains full independence from the United Kingdom, withdrawing from its protectorate agreement. Tonga becomes a fully independent native monarchy in the Commonwealth of Nations.Nukuʻalofa remains the capital."
1970-07-27,"Mexico annexes 15 bancos from the United States, and the United States annexes 4 bancos from Mexico, under the terms of the Banco Convention of 1905; Mexico acquires a net 507.6 hectares (1254.1 acres)."
1970-08-09,The Sultanate of Muscat and Oman changes its name to the Sultanate of Oman.
1970-10-09,The State of Cambodia changes its name to the Khmer Republic.
1970-10-10,The Colony of Fiji gains independence from the United Kingdom as the Dominion of Fiji.
1970-10-29,"Mexico annexes the Panales and Loma del Pinto Segundo bancos from the United States under the terms of the Banco Convention of 1905, acquiring 72 hectares (177.8 acres)."
1970-11-30,The People's Republic of South Yemen changes its name to the People's Democratic Republic of Yemen.
1971-03-26,"Amidst a military crackdown by Pakistani forces, East Pakistan declares independence from Pakistan as the People's Republic of Bangladesh, sparking the Liberation War. Bangladesh becomes part of the Commonwealth of Nations. Dhaka becomes the capital."
1971-04-19,"Sierra Leone changes its name to the Republic of Sierra Leone and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1971-08-14,The protectorate of Bahrain and Its Dependencies declares independence from the United Kingdom as the State of Bahrain; its special treaties with the UK are abrogated the next day. Manama remains the capital.
1971-09-01,The protectorate of Qatar declares independence from the United Kingdom as the State of Qatar; its special treaties with the UK are abrogated two days later. Doha remains the capital.
1971-09-11,"Following a referendum, the United Arab Republic changes its name to the Arab Republic of Egypt."
1971-10-25,The People's Republic of China replaces the Republic of China in China's seat in the United Nations.
1971-10-27,The Democratic Republic of the Congo changes its name to the Republic of Zaire.
1971-11-29,"Following the withdrawal of British forces, Iran conquers Greater and Lesser Tunbs from the Trucial State of Ras Al Khaimah."
1971-11-30,"Following the withdrawal of British forces, Iran conquers Abu Musa from the Trucial State of Sharjah."
1971-12-01,The United Kingdom ends its protectorate over the Trucial States.
1971-12-02,"The United Arab Emirates is established between six of the seven emirates of the former Trucial States: Abu Dhabi, Ajman, Dubai, Fujairah, Sharjah, and Umm Al Quwain. Abu Dhabi city becomes the capital."
1971-12-13,Australia changes the name of the Territory of Papua and New Guinea to Papua New Guinea.
1971-12-16,"Secession of Pakistan's eastern wing
Independence of Bangladesh is secured as Pakistani forces surrender, soon global powers would immediately recognize it the new nation. Bangladesh becomes a republic in the Commonwealth of Nations."
1972-01-01,"Following simultaneous referendums on 1 September 1971 in Egypt, in Libya, and in Syria, the Federation of Arab Republics is formed as a confederation working toward state unification."
1972-02-10,The Emirate of Ras Al Khaimah joins the United Arab Emirates. Ras Al Khaimah City yields to Abu Dhabi as the capital.
1972-02-28,The Southern Sudan Autonomous Region is established in Sudan.
1972-05-15,"The United States transfers the Ryukyu Islands, including the Daitō Islands, back to Japan as Okinawa Prefecture."
1972-05-20,"Following a referendum, the Federal Republic of Cameroon changes its name to the United Republic of Cameroon."
1972-05-22,"Ceylon changes its name to the Free, Sovereign and Independent Republic of Sri Lanka and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1972-08-17,Indonesia changes the name of its capital from Djakarta to Jakarta.
1972-09-01,"The United States removes its claims over the Swan Islands, ending part of its territorial dispute with Honduras."
1973-01-01,Portugal reorganizes the Overseas Province of Angola as the State of Angola.
1973-03-29,"The last U.S. combat troops are flown out of Tan Son Nhut Air Base, ending the eight-year United States occupation of South Vietnam."
1973-04-24,The Gambia changes the name of its capital from Bathurst to Banjul.
1973-06-01,The Kingdom of Greece changes its name to the Hellenic Republic.
1973-07-10,The Commonwealth of the Bahama Islands gains independence from the United Kingdom as the Commonwealth of The Bahamas. Nassau remains the capital.
1973-07-17,"Following a coup, the Republic of Afghanistan supersedes the Kingdom of Afghanistan. Kabul remains the capital."
1973-09-24,PAIGC rebels declare the independence of Portuguese Guinea from Portugal as the Republic of Guinea-Bissau. Madina do Boe is the de facto capital.
1973-10-25,"A ceasefire is imposed in the Yom Kippur War, with Israel occupying 1600 km2 of Egyptian and 500 km2 of Syrian territory conquered since 6 October."
1973-11-02,"The UN General Assembly recognizes the independence of the Republic of Guinea-Bissau, the first sub-Saharan African state to unilaterally declare independence without the consent of its colonial power (Portugal)."
1973-11-19,Uruguay relinquishes its claim to Martín García Island to Argentina.
1974-01-03,The Union of Burma changes its name to the Socialist Republic of the Union of Burma.
1974-01-20,China conquers the contested Paracel Islands after a naval battle against South Vietnam.
1974-02-07,The associated state of Grenada gains independence from the United Kingdom. St. George's remains the capital.
1974-02-21,"Israel completely withdraws from Egyptian territory west of the Suez Canal occupied in the Yom Kippur War, as part of the January Separation of Forces Agreement between the two states and the UN Security Council."
1974-02-22,"Pakistan recognizes the independence of Bangladesh, relinquishing its claims to the former East Pakistan."
1974-03-24,The Nation of Tanna declares independence from the Anglo–French New Hebrides Condominium.
1974-06-26,"Israel completely withdraws from Syrian territory occupied in the Yom Kippur War and 25 km2 occupied in the Six-Day War, implementing the May 1974 agreement creating a 235 km2 UNDOF buffer zone."
1974-06-29,The Nation of Tanna is overthrown and reincorporated into the Anglo–French New Hebrides Condominium.
1974-08-16,Turkey imposes a ceasefire after conquering 37% of Cyprus since 20 July. UN peacekeepers on the island since 1963 are deployed along the ceasefire line to create an expanded United Nations Buffer Zone in Cyprus.
1974-08-21,"Saudi Arabia and the United Arab Emirates agree on a new mutual border, though the UAE subsequently disputes the Saudi interpretation of the new boundary line."
1974-09-05,"The Parliament of India passes a constitutional amendment incorporating the Kingdom of Sikkim as an ""associate state""."
1974-09-10,"Following an agreement to end the war on 26 August, Portugal dissolves Portuguese Guinea and recognizes the independence of the Republic of Guinea-Bissau. Bissau becomes the capital."
1974-09-12,"Following a Derg coup amidst popular unrest, the Provisional Military Government supersedes the Ethiopian Empire, though the monarchy is formally abolished only on 21 March 1975. Addis Ababa remains the capital."
1974-10-01,The Autonomous Turkish Cypriot Administration is established as a nominally autonomous state in the Turkish–occupied territories of Cyprus. North Nicosia becomes the de facto capital.
1974-10-19,"Following a referendum, the status of Niue is upgraded to self-government in free association with New Zealand. Alofi remains the capital."
1974-12-13,The State of Malta changes its name to the Republic of Malta and severs all ties to the British monarchy as a Commonwealth realm.
1974-12-20,"Following the proclamation of ""Ethiopian socialism"", the Derg Provisional Military Government begins using the name Provisional Military Government of Socialist Ethiopia."
1975-01-01,Malawi moves its capital from Zomba to Lilongwe.
1975-02-13,"The Autonomous Turkish Cypriot Administration is reorganized as the Turkish Federated State of Cyprus, with the intention of forcing federation upon Cyprus. North Nicosia remains the capital."
1975-04-09,"India invades the Kingdom of Sikkim, organizing a referendum on abolishing the monarchy five days later."
1975-04-17,"Following the victory of the Khmer Rouge in the Cambodian Civil War, Kampuchea supersedes the Khmer Republic. Phnom Penh remains the capital."
1975-04-30,"Following the Fall of Saigon, the Provisional Revolutionary Government of the Republic of South Vietnam supersedes the Republic of Vietnam. Saigon remains the capital."
1975-05-16,India officially annexes the Kingdom of Sikkim as the State of Sikkim. Gangtok yields to New Delhi as the capital.
1975-06-22,The United Kingdom changes the name of British Solomon Islands Protectorate to Solomon Islands.
1975-06-25,"In accordance with the Lusaka Accord, the State of Mozambique gains independence from Portugal as the People's Republic of Mozambique. Lourenço Marques remains the capital."
1975-07-05,The Overseas Province of Cape Verde gains independence from Portugal as the Republic of Cape Verde. Praia remains the capital.
1975-07-06,"Following a referendum in December 1974, the Territory of the Comoros unilaterally declares independence from France as the State of Comoros. Moroni remains the capital."
1975-07-12,The Overseas Province of São Tomé and Príncipe gains independence from Portugal as the Democratic Republic of São Tomé and Príncipe. São Tomé remains the capital.
1975-09-01,"Two weeks before Papua New Guinea's independence, Bougainville Island declares independence from the territory and from Australia as the Republic of North Solomons. Arawa becomes the capital."
1975-09-04,"In a treaty with Egypt, Israel agrees to withdraw from western Sinai and create a United Nations Emergency Force buffer zone in the region."
1975-09-16,Papua New Guinea gains independence from Australia as the Independent State of Papua New Guinea. Port Moresby remains the capital.
1975-10-01,"Following a referendum, the British Colony of Gilbert and Ellice Islands is de jure divided into the Colony of Gilbert Islands and the Colony of Tuvalu. Tarawa remains and Funafuti becomes their respective capitals."
1975-11-11,"In accordance with the Alvor Agreement, the State of Angola gains independence from Portugal as the People's Republic of Angola. Luanda remains the capital."
1975-11-14,"A week after Morocco organized the Green March into Spanish Sahara, Spain agrees to decolonize Western Sahara through a temporary tripartite administration with Mauritania and Morocco."
1975-11-25,Suriname gains full independence from the Kingdom of the Netherlands as the Republic of Suriname. Paramaribo remains the capital.
1975-11-28,The Fretilin party unilaterally declares the independence of Portuguese Timor as East Timor. Dili remains the capital. The UN continues to recognize Portugal as the legitimate administrative power until May 2002.
1975-11-30,The Republic of Dahomey changes its name to the People's Republic of Benin.
1975-12-02,"Following the victory of the Pathet Lao in the Laotian Civil War, the Lao People's Democratic Republic supersedes the Kingdom of Laos. Vientiane remains the capital."
1975-12-07,"Indonesia invades East Timor, beginning a twenty-four-year occupation."
1975-12-08,Portugal completely withdraws its forces from East Timor.
1975-12-11,"Morocco occupies Laayoune, the capital of Western Sahara, beginning an occupation which continues to the present; fighting immediately breaks out with Polisario Front rebels demanding the territory's independence."
1975-12-22,"Mauritania conquers La Güera and Tichla after a two-week battle against the Polisario Front, beginning a four-year occupation of the southern part of Western Sahara."
1975-12-26,Iran and Iraq complete the demarcation of their border in the Shatt al-Arab on the basis of the March treaty which resolved their dispute over the waterway.
1975-12-30,"Following a referendum, the Malagasy Republic changes its name to the Democratic Republic of Madagascar."
1976-01-01,"The de facto division of the British Colony of Gilbert and Ellice Islands into the Colony of Gilbert Islands and the Colony of Tuvalu occurs, with the separation of the old administration and introduction of new state symbols."
1976-01-05,Kampuchea changes its name to Democratic Kampuchea.
1976-01-08,"The United States annexes the Carranza, Macum, La Oficina, Vado de Pierda, Las Viboras, and Rancho Texas bancos from Mexico under the terms of the Banco Convention of 1905, acquiring 19.9 hectares (49.2 acres)."
1976-02-26,Spain completely withdraws its forces and relinquishes its status as the administrative power in Western Sahara.
1976-02-27,The Polisario Front proclaims the Sahrawi Arab Democratic Republic as an independent state Western Sahara with its capital in Laayoune. 84 UN member states recognize its independence at different times.
1976-03-13,The People's Republic of Mozambique changes the name of its capital from Lourenço Marques to Maputo.
1976-04-14,"Amidst a war against the Polisario Front, Mauritania and Morocco partition Western Sahara, with Mauritania annexing the southern third as Tiris al-Gharbiyya and Morocco annexing the rest as its Southern Provinces."
1976-06-23,"The United Kingdom detaches Aldabra, Desroches and the Farquhar Group from the British Indian Ocean Territory and returns the islands to the Seychelles days before the latter's independence."
1976-06-24,The Philippines moves its capital from Quezon City back to Manila; the new Metro Manila becomes the official seat of government. Baguio is no longer recognized as the summer capital.
1976-06-29,The Crown Colony of the Seychelles gains independence from the United Kingdom within the Commonwealth of Nations as the Republic of the Seychelles. Victoria remains the capital.
1976-07-02,The Democratic Republic of Vietnam and the Provisional Revolutionary Government of the Republic of South Vietnam unite to form the Socialist Republic of Vietnam. Saigon yields to Hanoi as the capital.
1976-07-17,"Indonesia annexes East Timor as the province of East Timor, although much of the mountainous interior remains under the control of the Fretilin resistance movement."
1976-07-19,France incorporates the Overseas Territory of Saint Pierre and Miquelon as the Overseas Department of Saint Pierre and Miquelon.
1976-08-01,"Trinidad and Tobago changes its name to the Republic of Trinidad and Tobago and severs all ties to the British monarchy as a Commonwealth realm, but remains in the Commonwealth of Nations."
1976-08-09,The Republic of the North Solomons surrenders to Papua New Guinea in an agreement promising Bougainville Island autonomy as North Solomons Province.
1976-10-26,"The Bantustan Republic of Transkei is declared independent by South Africa. Mthatha becomes the capital. No other country recognizes its independence, widely seen as part of the institution of apartheid."
1976-11-07,"Argentina occupies Southern Thule in the South Sandwich Islands, territory internationally recognized as part of the United Kingdom."
1976-12-04,The Central African Republic changes its name to the Central African Empire.
1976-12-24,"After confirming its decision to break with the Comoros and remain part of France in two referendums held in February and April, Mayotte is reorganized as the Territorial Collectivity of Mayotte."
1976-12-28,The People's Republic of Albania changes its name to the People's Socialist Republic of Albania.
1977-02-11,Mayotte moves its capital from Dzaoudzi to Mamoudzou.
1977-03-01,"The United States claims maritime borders west of the Strait of Juan de Fuca, within the Dixon Entrance, and in the Beaufort Sea that conflict with the claims of Canada."
1977-03-02,The Libyan Arab Republic changes its name to the Socialist People's Libyan Arab Jamahiriya.
1977-03-31,"The United Kingdom officially turns over its military bases in Masirah Island and Salalah to Oman, fulfilling a demand of the United Nations for the UK to end its ""colonial policies"" in Oman."
1977-05-22,"Argentina and Chile turn to the United Kingdom to arbitrate a border dispute over the territorial and maritime borders between them. The United Kingdom recognizes the islands Picton, Nueva and Lennox as Chilean territory as well as the southern half of the Beagle Channel and its islands. The northern half is awarded to Argentina, along with several small islands. The maritime projection of the border defined by the arbitration projects Chile to Antarctica. Due to this, Argentina to declares the result ""not valid."""
1977-05-26,"Mexico and the United States complete the implementation of the Boundary Treaty of 1970, resulting in several parcels of land being swapped."
1977-06-27,"Following a referendum, the French Territory of the Afars and the Issas gains independence from France as the Republic of Djibouti. Djibouti City remains the capital."
1977-07-13,"Somalia invades Ethiopia, conquering most of the ethnic-Somali region of Ogaden by mid-September"
1977-12-05,"The Federation of Arab Republics effectively ceases to exist as Libya and Syria dissolve the Federation Presidential Council, though Egypt does not formally withdraw from the confederation until 1 October 1984."
1977-12-06,"The Bantustan Republic of Bophuthatswana is declared independent by South Africa. Mmabatho becomes the capital. No other country recognizes its independence, widely seen as part of the institution of apartheid."
1978-03-23,"Ethiopia reconquers more than two-thirds of Ogaden, though for several more years Somalia continues to intervene in the region directly and in support of the Western Somali Liberation Front."
1978-04-30,"Following the Saur Revolution, the Democratic Republic of Afghanistan supersedes the Republic of Afghanistan. Kabul remains the capital."
1978-07-07,Solomon Islands gains independence from the United Kingdom as a Commonwealth realm. Honiara remains the capital.
1978-09-07,"The Free, Sovereign and Independent Republic of Sri Lanka changes its name to the Democratic Socialist Republic of Sri Lanka."
1978-10-01,Tuvalu gains independence from the United Kingdom. Funafuti remains the capital.
1978-11-03,The associated state of Dominica gains independence from the United Kingdom as the Commonwealth of Dominica. Roseau remains the capital.
1978-12-25,"Vietnam invades Democratic Kampuchea, beginning an occupation of Cambodia lasting more than ten years."
1978-12-29,"Following the transition to democracy and the ratification of a new constitution by referendum, the Spanish State changes its name to the Kingdom of Spain."
1979-01-07,"Vietnam conquers Phnom Penh effectively overthrowing Democratic Kampuchea, though it remains the UN-recognized government of Cambodia and the Khmer Rouge continues as an insurgency until June 1998."
1979-01-08,The People's Republic of Kampuchea is established by the pro-Vietnamese Salvation Front. Phnom Penh remains the capital of Cambodia.
1979-02-11,"Following the overthrow of the Pahlavi dynasty, Iran supersedes the Imperial State of Iran. Tehran remains the capital."
1979-02-22,The associated state of Saint Lucia gains independence from the United Kingdom. Castries remains the capital.
1979-04-01,"Following a referendum, Iran changes its name to the Islamic Republic of Iran."
1979-06-01,"Rhodesia changes its name to Zimbabwe Rhodesia, implementing an unsuccessful bid for international recognition through a settlement between the white government and moderate African nationalists."
1979-07-12,The Colony of Gilbert Islands gains independence from the United Kingdom as the Republic of Kiribati; it includes most of the Phoenix and Line Islands claimed by the United States until 1983. South Tarawa remains the capital.
1979-08-05,"Failing to defeat the Sahrawi insurgency despite French support, Mauritania relinquishes all territorial claims in Western Sahara in a peace treaty with the Polisario Front."
1979-08-11,Morocco annexes the southern third of Western Sahara following Mauritania's withdrawal. No UN member state has formally recognized Morocco's annexation of any part of Western Sahara.
1979-09-13,"The Bantustan Republic of Venda is declared independent by South Africa. Thohoyandou becomes the capital. No other country recognizes its independence, widely seen as part of the institution of apartheid."
1979-09-21,"The Central African Empire is overthrown by rebel forces supported by France, and a proclamation is made restoring the Central African Republic."
1979-10-01,"The United States dissolves the Panama Canal Zone, transferring its territory to Panama except for 44 US enclaves which will be returned later in stages, and joint control of the canal which continues until 31 December 1999."
1979-10-27,The associated state of Saint Vincent gains independence from the United Kingdom as Saint Vincent and the Grenadines. Kingstown remains the capital.
1979-12-11,"Zimbabwe Rhodesia temporarily returns under the rule of the United Kingdom as Southern Rhodesia, implementing the Lancaster House Agreement."
1979-12-25,"The Soviet Union invades Afghanistan, overthrowing its government two days later and beginning an occupation lasting more than nine years."
1980-01-01,Tafea declares independence from the Anglo–French New Hebrides Condominium.
1980-04-18,Southern Rhodesia gains independence within the Commonwealth of Nations from the United Kingdom as the Republic of Zimbabwe. Salisbury remains the capital.
1980-05-26,Tafea is overthrown by British forces and reincorporated into the Anglo–French New Hebrides Condominium.
1980-05-28,The Republic of Vemerana declares independence from the Anglo–French New Hebrides Condominium.
1980-07-28,Peruvian Republic changes its name to the Republic of Peru.
1980-07-30,"Israel passes the Jerusalem Law, annexing East Jerusalem and expanding its capital of Jerusalem to encompass the annexed area. The United Nations Security Council declares the law null and void."
1980-08-28,The Republic of Vemerana is overthrown by the forces of Vanuatu supported by those of Papua New Guinea and the Solomon Islands.
1980-09-22,"Iraq invades Iran capturing more than 15,000 km2 by December, much of which it occupies for almost two years."
1980-12-19,"The United Kingdom divides the associated state of Saint Christopher, Nevis and Anguilla into Saint Christopher and Nevis and the Crown Colony of Anguilla. Basseterre remains and The Valley becomes their respective capitals."
1981-01-01,Greece joins the European Communities.
1981-09-17,"The United States removes its claims over Roncador Bank, Serrana Bank, and Quita Sueño Bank, ending part of its territorial dispute with Colombia."
1981-09-21,The Crown Colony of Belize gains independence from the United Kingdom as a Commonwealth realm. Belmopan remains the capital.
1981-11-01,The associated state of Antigua gains independence from the United Kingdom as Antigua and Barbuda. St. John's remains the capital.
1981-12-04,"The Bantustan Republic of Ciskei is declared independent by South Africa. Bisho becomes the capital. No other country recognizes its independence, widely seen as part of the institution of apartheid."
1981-12-14,Israel annexes the Golan Heights.
1982-01-28,"Iraq approves a treaty of 26 December with Saudi Arabia to partition the Neutral Zone between the two. The actual division of the territory occurs thereafter, though the new border is made public only in June 1991."
1982-02-01,"Senegal and The Gambia attempt to unite to form the Senegambia Confederation. Dakar becomes the confederation capital, though most government powers remain with the separate states."
1982-03-29,"Canada becomes a fully sovereign state with the promulgation of the Canada Act, eliminating all remaining powers in the country of the Parliament of the United Kingdom."
1982-04-02,"Argentina conquers the Falkland Islands from the United Kingdom, renaming the territory Islas Malvinas and the capital from Stanley to Puerto Argentino during a two-month-long occupation."
1982-04-03,Argentina conquers South Georgia from the United Kingdom.
1982-04-18,Zimbabwe changes the name of its capital from Salisbury to Harare.
1982-04-25,The United Kingdom reconquers South Georgia from Argentina.
1982-04-26,"Israel completes the sixth and final step of withdrawal, begun on 25 May 1979, from the remaining territory it occupied in the Sinai Peninsula, fulfilling the terms of its March 1979 peace treaty with Egypt."
1982-04-29,Sri Lanka moves its capital from Colombo to Sri Jayawardenepura Kotte.
1982-05-30,Spain joins the North Atlantic Treaty Organization in the alliance's third enlargement.
1982-06-14,"The United Kingdom reconquers the Falkland Islands from Argentina, ending the Falklands War."
1982-06-20,The United Kingdom reconquers Southern Thule in the South Sandwich Islands from Argentina.
1982-06-30,Iraqi forces are completely expelled from Iran amidst the ongoing Iran–Iraq War.
1982-08-15,"The unrecognized Kingdom of Rwenzururu disbands and surrenders to Uganda as part of an agreement promising the region a degree of local autonomy, eventually leading to its revival as a subnational kingdom."
1983-01-01,The United Kingdom changes the title of its Crown colonies and self-governing colonies to that of British Dependent Territories.
1983-03-21,Ivory Coast moves its capital from Abidjan to Yamoussoukro.
1983-06-05,The Southern Sudan Autonomous Region is abolished in Sudan.
1983-09-03,"The United States removes its claims over Atafu, Fakaofo, and Nukunono, ending part of its territorial dispute with Tokelau."
1983-09-08,"The United States removes its claims over Pukapuka, Manihiki, Penrhyn, and Rakahanga, ending its territorial dispute with the Cook Islands."
1983-09-19,The associated state of Saint Christopher and Nevis gains independence from the United Kingdom as the Federation of Saint Christopher and Nevis (Saint Kitts and Nevis). Basseterre remains the capital.
1983-09-23,"The United States removes its claims over Birnie, Canton, Caroline, Christmas, Enderbury, Flint, Gardner, Hull, Malden, McKean, Phoenix, Starbuck, Sydney, and Vostok Islands, ending its territorial dispute with Kiribati."
1983-11-15,"The Turkish Federated State of Cyprus declares independence from Cyprus as the Turkish Republic of Northern Cyprus. North Nicosia remains the capital. Only Turkey, which occupies Northern Cyprus, recognizes it."
